Identifier,Term,Class,Class.Nbr,Section,Primary.Instruction.Section,Class.Description,Official.Grade,Status.Cd,Status.Reason,Enrolled.Hours,Add.Date,IPEDS.Ethnicity,X1st.Gen.College.Std.Flag,Mail.City,Mail.State.Cd,Mail.Country,Home.City,Home.State.Cd,Home.County,Home.Country,Academic.Level.Begin.of.Term,Cum.GPA,Total.Cum.Units,Total.NAU.Units,Primary.Academic.Program,Primary.Academic.Plan,Sub.Plan,Student.Campus,College.Cd,College,Division.Cd,Division,Unit.Cd,Unit,First.Term.Enrolled.Cd.Ugrd,First.Term.Enrolled.Cd.Grad,Last.Term.Enrolled,Class.Campus.Cd,Class.Campus,Instruction.Mode,Age,Sex,1st.Gen.College.Std.Flag,section_code,Passed,Passed_int,hw_submissions,hw_score_mean,hw_time_total_min,hw_fast_submit_rate,hw_available,hw_completion_rate,unit1_exam_score,Attendance...Participation.Final.Score,Pre.Class.Prep.Final.Score,Check.Your.Understanding.Final.Score,Friday.Funday.Final.Score,Module.Knowledge.Assessments.Final.Score,Module.Practice.Knowledge.Assessments.Final.Score,Final.Knowledge.Assessment.Final.Score,Study.Skills.Videos.Final.Score,Final.Score,Projects.Final.Score,Assignments.Final.Score
1093.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,Two or More,,,,,,,,USA,Freshman,4.0,24.0,14.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,19.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1094.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Freshman,3.75,22.0,16.0,,Biology (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,68.0,96.91205882352942,2052.9166666666665,0.029411764705882353,157.0,0.43312101910828027,92.11,100.0,98.7,96.63,99.45,90.11,32.25,79.68,88.89,91.19,,
1095.0,1247.0,MAT 125,4726.0,6.0,,,B,,Enrolled,,,Two or More,,,,,,,,USA,Sophomore,3.08,69.0,14.0,,Ecol & Evol Biology (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,67.0,93.31641791044775,2964.85,0.07352941176470588,157.0,0.4267515923566879,96.0,97.14,97.76,92.06,92.41,84.83,47.93,61.0,77.78,83.52,,
1096.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,Hispanic/Latino,,,,,,,,USA,Freshman,3.29,29.0,14.0,,Exercise Physiology (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,68.0,91.235,3548.85,0.029411764705882353,157.0,0.43312101910828027,78.53,68.3,92.97,89.68,82.81,84.76,39.27,97.93,88.89,85.06,,
1097.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Freshman,3.67,18.0,15.0,,Biology (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1098.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Freshman,0.0,0.0,0.0,,International Affairs (BA),,Flagstaff Mountain,,,,,,,1247.0,,,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1099.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,White,,,,,,,,USA,Freshman,4.0,21.0,14.0,,Exploratory,,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1100.0,1247.0,MAT 125,4726.0,6.0,,,W,,Withdrawn from Class,,,White,,,,,,,,USA,Freshman,3.0,15.0,12.0,,Exploratory,,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1101.0,1247.0,MAT 125,4726.0,6.0,,,,,Dropped (was enrolled),,,Two or More,,,,,,,,USA,Junior,4.0,77.0,14.0,,Biomedical Science (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Male,N,1247-NA,False,0,,,,,,,,,,,,,,,,,,
1102.0,1247.0,MAT 125,4726.0,6.0,,,A,,Enrolled,,,White,,,,,,,,USA,Sophomore,4.0,57.0,14.0,,Envrmtl & Sust Studies (BS),,Flagstaff Mountain,,,,,,,1247.0,,1251.0,FLGMT,,In Person,18.0,Female,N,1247-NA,True,1,68.0,92.33529411764707,5175.95,0.014705882352941176,157.0,0.43312101910828027,85.11,100.0,94.12,90.16,88.0,89.58,49.19,84.73,100.0,90.18,,
